Title	URL	Status	Size	Iteration	Start date	End date	Completion Time	Assignees
Implement mouse controller	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/23	Done	M	Sprint2		Feb 3, 2025	5	manzlerh, SauravPoudyel
Implement Entity class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/24	Done	XL	Sprint2		Feb 6, 2025	8	manzlerh, PaytonYaffe, SauravPoudyel
Implement Player class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/25	Done	XL	Sprint2		Feb 6, 2025	12	PaytonYaffe, SauravPoudyel
Implement Mob class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/26	Done	XL	Sprint2		Feb 17, 2025	17	manzlerh, PaytonYaffe, SauravPoudyel
Implement Projectile class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/27	Done	M	Sprint2		Feb 10, 2025	10	Aperture-1101, LeoChen1068, manzlerh, PaytonYaffe, SauravPoudyel
Implement Block class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/28	Done	S	Sprint2		Feb 16, 2025	12	Aperture-1101, LeoChen1068, manzlerh
Implement Pickup Item class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/29	Done	L	Sprint2		Feb 5, 2025	11	manzlerh
Implement Rocket class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/30	Done	S	Sprint2		Feb 6, 2025	9	Aperture-1101, LeoChen1068
Implement Sniper class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/31	Done	S	Sprint2		Feb 6, 2025	8	Aperture-1101, LeoChen1068
Implement Shotgun class	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/32	Done	M	Sprint2		Feb 13, 2025	9	Aperture-1101, LeoChen1068, PaytonYaffe
Create ICommands Interface	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/33	Done	M	Sprint2		Feb 5, 2025	8	manzlerh
Implement Action Commands	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/34	Done	L	Sprint2		Feb 9, 2025	12	Aperture-1101, LeoChen1068, manzlerh, PaytonYaffe, SauravPoudyel
Implement Graphics Commands	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/35	Done	M	Sprint2		Feb 5, 2025	7	manzlerh, SauravPoudyel
